222,7,6,6
225,1,1,1
1113,4,1,1
223,7,1,1
733,1,1,1
213,1,1,1
511,1,1,1
533,1,1,1
1233,7,6,6
1531,1,1,1
421,1,6,6
1423,1,1,1
734,1,6,6
412,1,6,6
411,7,1,1
2023,7,1,1
414,1,1,1
1513,1,1,1
1034,7,1,1
232,1,6,6
2222,1,1,1
621,1,1,1
613,1,6,6
434,1,6,6
824,1,1,1
312,1,6,6
914,7,1,1
431,1,1,1
321,1,1,1
1434,7,6,6
1412,7,1,1
413,1,6,6
812,1,1,1
922,1,1,1
332,1,1,1
1524,1,1,1
1814,7,6,6
324,1,6,6
1623,7,6,6
2521,1,1,1
1112,4,6,6
1832,7,6,6
732,1,6,6
1123,1,1,1
212,1,1,1
234,7,1,1
122,7,6,6
815,7,1,1
612,1,1,1
1433,7,6,6
1413,7,1,1
123,7,1,1
911,1,1,1
1115,4,6,6
624,1,1,1
2432,7,1,1
634,1,1,1
2413,7,6,6
433,1,1,1
1834,7,6,6
1533,4,1,1
932,1,6,6
432,1,1,1
1831,7,6,6
1011,1,1,1
322,1,1,1
2514,1,1,1
835,1,6,6
1634,1,1,1
1921,7,1,1
1532,1,1,1
211,7,1,1
631,1,6,6
1912,7,6,6
1133,4,1,1
2223,1,1,1
512,1,6,6
1124,1,1,1
1432,7,6,6
1111,1,1,1
311,1,1,1
1512,1,1,1
831,1,1,1
1135,1,1,1
1511,1,6,6
2531,1,1,1
2533,7,6,6
2212,7,6,6
1122,4,6,6
423,1,6,6
2525,1,1,1
1711,7,6,6
314,1,1,1
1924,7,1,1
2234,7,6,6
713,1,6,6
623,1,6,6
611,1,1,1
711,1,6,6
715,1,1,1
912,7,6,6
931,1,1,1
111,7,1,1
1633,1,1,1
821,7,6,6
2512,7,6,6
833,7,6,6
832,1,1,1
2534,1,1,1
1033,1,1,1
1612,1,1,1
933,1,6,6
633,1,6,6
124,7,1,1
1812,7,6,6
1724,1,1,1
1121,4,6,6
331,1,6,6
1031,1,6,6
2423,1,1,1
2233,1,6,6
113,7,1,1
1632,1,1,1
2532,1,6,6
1234,1,6,6
1723,1,1,1
1622,1,1,1
1833,7,6,6
1414,7,6,6
215,1,1,1
2232,1,1,1
823,1,6,6
224,1,6,6
1931,7,6,6
1132,4,6,6
1134,4,6,6
735,1,1,1
1014,1,1,1
1024,1,1,1
2221,7,1,1
1913,7,1,1
1915,7,6,6
121,7,1,1
1911,7,1,1
522,1,6,6
825,1,6,6
1731,1,6,6
1223,7,1,1
1824,7,1,1
334,1,6,6
2424,1,6,6
323,1,1,1
1811,7,1,1
934,1,1,1
1032,1,1,1
513,1,1,1
114,7,6,6
1213,7,1,1
133,7,1,1
1232,7,1,1
1235,7,1,1
725,1,1,1
714,1,6,6
822,1,1,1
723,1,1,1
1523,1,1,1
1021,1,6,6
935,1,6,6
811,7,1,1
614,1,1,1
1231,7,6,6
632,7,1,1
1214,7,6,6
1013,1,6,6
422,1,1,1
1732,7,1,1
2012,7,6,6
2032,7,6,6
1722,7,6,6
1225,1,6,6
1822,7,1,1
1713,1,6,6
921,1,1,1
1522,1,1,1
2515,1,6,6
915,7,6,6
333,1,1,1
1624,7,6,6
731,1,6,6
726,1,6,6
1424,7,1,1
2523,1,6,6
2522,1,6,6
1712,7,6,6
214,1,1,1
923,1,1,1
2422,7,6,6
1621,7,6,6
1023,1,1,1
1224,7,6,6
523,1,1,1
1914,1,6,6
524,1,6,6
1221,7,6,6
924,7,1,1
722,1,1,1
814,1,6,6
313,1,6,6
235,7,6,6
1212,7,6,6
1022,1,6,6
1411,7,6,6
2213,7,1,1
2011,1,6,6
1422,1,1,1
1925,7,6,6
1934,7,6,6
424,1,1,1
1222,1,6,6
1611,7,1,1
834,7,1,1
1211,1,6,6
1652,7,1,1
712,1,6,6
1215,7,6,6
1733,7,1,1
233,7,6,6
1932,7,1,1
2524,1,6,6
1823,7,1,1
2033,1,6,6
2412,1,6,6
1421,1,1,1
622,7,1,1
1131,4,1,1
1613,7,1,1
2511,1,1,1
112,7,1,1
2411,7,6,6
813,1,6,6
532,1,6,6
913,1,6,6
531,1,6,6
2031,7,1,1
131,7,1,1
2535,1,1,1
2022,1,6,6
1114,4,1,1
2433,7,6,6
925,7,1,1
1012,1,6,6
1933,7,6,6
1922,7,1,1
1813,7,1,1
2211,7,6,6
1631,1,1,1
1935,7,6,6
1821,7,6,6
2024,1,6,6
231,1,6,6
2513,7,6,6
724,1,6,6
1431,7,6,6
1923,7,1,1
132,7,6,6
2431,7,6,6
1651,7,6,6
1614,1,6,6
1125,1,6,6
2013,7,1,1
221,1,1,1
1654,9,11,11
1653,7,6,6
1655,1,1,1
